event_code, primary_location, direction, extent, diversion_advice, ltn, rds_cc, length_route_affected, speed_limit_advice, quantifier, supplementary_info, additional_event, detailed_diversion_instructions, destinations, cross_linkage_to_source_problem, start_unix_time, stop_unix_time, iso_cc, latitude, longitude, activate_unix_time, expire_unix_time, geocoded_location_list, iid, duration, control_code, separator, information_category
2050,40,0,1,0,32,12,65535,57,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.95859,116.45342,1382713200,1382715000, ,0xae79e44821b50bbe7862ccefe3807e7d,1,65535,255,218
2049,41,1,1,0,32,12,65535,58,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94929,116.46174,1382713200,1382715000, ,0x6dfcc3009887c84082536f2a29843c64,1,65535,255,218
2050,41,0,1,0,32,12,65535,55,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.94929,116.46174,1382713200,1382715000, ,0xc6f9f1b90cc74729969c8f1531b8cd80,1,65535,255,218
2049,42,1,1,0,32,12,65535,65,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.96962,116.4344,1382713200,1382715000, ,0x3f82395f23a9d95f1dedd4e44c905851,1,65535,255,218
2049,42,0,1,0,32,12,65535,58,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.96962,116.4344,1382713200,1382715000, ,0x86c76fad0cadd0553e4da51e2618c9ae,1,65535,255,218
2049,43,1,1,0,32,12,65535,62,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.8762,116.46112,1382713200,1382715000, ,0xdcb1e691a9430d726e925c6dd1620ea9,1,65535,255,218
2049,43,0,1,0,32,12,65535,58,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.8762,116.46112,1382713200,1382715000, ,0x8079fe474ef4db953bfa06726f6c237c,1,65535,255,218
2049,44,1,1,0,32,12,65535,60,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.93372,116.46162,1382713200,1382715000, ,0x97b2df7bd4b097732be1cff6cfc5cd00,1,65535,255,218
2050,44,0,1,0,32,12,65535,56,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.93372,116.46162,1382713200,1382715000, ,0x1bc94b6af54e83fb3086980798d09859,1,65535,255,218
2050,45,1,1,0,32,12,65535,25,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.04554,116.41209,1382713200,1382715000, ,0xf10045ac28d43c1cf2ae0c1fcd242cb5,1,65535,255,218
2050,46,1,1,0,32,12,65535,51,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.90834,116.46175,1382713200,1382715000, ,0x9e8550ed5d3e1481c7fd0c05ad36a85a,1,65535,255,218
2049,46,0,1,0,32,12,65535,62,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.90834,116.46175,1382713200,1382715000, ,0x3b6ff9811a14a7b99692c50859620554,1,65535,255,218
2050,47,1,1,0,32,12,65535,54,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.89347,116.46147,1382713200,1382715000, ,0x980c185746fac9b1aa011f59a7078474,1,65535,255,218
