CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
500;10;30810;P;1;11;;6671813;6671884;;9;;;30803;1;1;1;1;1;1;;;+12061787;+2996864;0;1
500;10;31600;P;1;12;;6671813;6671943;;9;;;30803;1;1;1;1;1;1;;;+12062481;+2997167;0;1
500;10;30800;P;1;10;;6671813;6672089;;9;;;30803;1;1;1;1;1;1;;;+12062777;+2998123;0;1
500;10;30799;P;1;10;;6671813;8674936;;9;;;30803;1;1;1;1;1;1;;;+12062754;+2999299;0;1
500;10;30798;P;1;7;;6671813;9339519;;9;;;30803;1;1;1;1;1;1;;;+12062679;+3000231;0;1
500;10;18547;P;1;10;;4738446;5472214;;7;;;18542;1;1;1;1;1;1;;;+12126801;+2863077;0;1
500;10;18546;P;1;10;;4738446;4738354;;7;;;18542;1;1;1;1;1;1;;;+12126925;+2863910;0;1
500;10;12562;P;1;7;;15142985;15142933;;6;;;12561;1;1;1;1;1;1;;;+11965308;+2911988;0;1
500;10;12563;P;1;10;;15142985;15142814;;6;;;12561;1;1;1;1;1;1;;;+11965314;+2912321;0;1
500;10;12564;P;1;10;;15142985;15143064;;6;;;12561;1;1;1;1;1;1;;;+11965298;+2912769;0;1
500;10;12565;P;1;10;;15142985;16275021;;6;;;12561;1;1;1;1;1;1;;;+11965303;+2913279;0;1
500;10;12566;P;1;3;;15142985;15144094;;6;;;12561;1;1;1;1;1;1;;;+11965147;+2913675;0;0
500;10;12567;P;1;11;;15142985;15143354;;6;;;12561;1;1;1;1;1;1;;;+11964358;+2915790;0;0
500;10;30607;P;1;10;;9339519;8675010;;9;;;30605;1;1;1;1;1;1;;;+12059665;+2999892;0;1
500;10;30608;P;1;10;;9339519;6671883;;9;;;30605;1;1;1;1;1;1;;;+12060082;+2999928;0;1
500;10;30609;P;1;12;;9339519;9608143;;9;;;30605;1;1;1;1;1;1;;;+12060926;+3000060;0;1
500;10;30610;P;1;11;;9339519;6671884;;9;;;30605;1;1;1;1;1;1;;;+12061816;+3000204;0;1
500;10;30611;P;1;6;;9339519;8741037;;9;;;30605;1;1;1;1;1;1;;;+12062679;+3000231;0;1
500;10;19560;P;1;12;;4803301;4803318;;7;;;19559;1;1;1;1;1;1;;;+12141795;+2861325;0;1
500;10;18693;P;1;12;;4803301;4802938;;7;;;19559;1;1;1;1;1;1;;;+12141760;+2861790;0;1
500;10;7141;P;1;12;;1000414;734629;;5;;;7140;1;1;1;1;1;1;;;+12065003;+2805065;0;0
500;10;7142;P;1;10;;1000414;1000551;;5;;;7140;1;1;1;1;1;1;;;+12066180;+2804891;0;0
500;10;7143;P;1;12;;1000414;1067086;;5;;;7140;1;1;1;1;1;1;;;+12067987;+2805750;0;0
500;10;7144;P;1;12;;1000414;1000582;;5;;;7140;1;1;1;1;1;1;;;+12069981;+2804046;0;0
500;10;30440;P;1;10;;6672076;6671784;;9;;30437;;1;1;1;1;1;1;;;+12040971;+3012938;0;0
500;10;30441;P;1;12;;6672076;6671787;;9;;30437;;1;1;1;1;1;1;;;+12040888;+3012785;0;0
500;10;30442;P;1;10;;6672076;6671781;;9;;30437;;1;1;1;1;1;1;;;+12040742;+3011904;0;0
500;10;30443;P;1;10;;6672076;6671788;;9;;30437;;1;1;1;1;1;1;;;+12042346;+3009913;0;1
500;10;30444;P;1;6;;6672076;6671779;;9;;30437;;1;1;1;1;1;1;;;+12043197;+3009428;0;1
500;10;30445;P;1;10;;6672076;6671825;;9;;30437;;1;1;1;1;1;1;;;+12044030;+3008894;30446;1
500;10;30446;P;1;12;;6672076;6671814;;9;;30438;;1;1;1;1;1;1;;;+12050306;+3005141;30445;1
500;10;30447;P;1;10;;6672076;6671806;;9;;30438;;1;1;1;1;1;1;;;+12050838;+3004852;0;0
500;10;30448;P;1;6;;6672076;6671807;;9;;30438;;1;1;1;1;1;1;;;+12053154;+3003520;0;1
500;10;30449;P;1;12;;6672076;6671815;;9;;30438;;1;1;1;1;1;1;;;+12054534;+3002732;30450;1
500;10;30450;P;1;6;;6672076;8741037;;9;;30439;;1;1;1;1;1;1;;;+12062679;+3000231;30449;1
