CID;TABCD;LCD;ALLOCATED
513;23;372;1
513;23;377;1
513;23;378;1
513;23;2767;1
513;23;2768;1
513;23;2769;1
513;23;2770;1
513;23;315;1
513;23;316;1
513;23;321;1
513;23;322;1
513;23;2303;1
513;23;2304;1
513;23;2305;1
513;23;2306;1
513;23;2771;1
513;23;2772;1
513;23;399;1
513;23;400;1
513;23;51;1
513;23;149;1
513;23;140;1
513;23;137;1
513;23;88;1
513;23;151;1
513;23;90;1
513;23;91;1
513;23;53;1
513;23;52;1
513;23;397;1
513;23;398;1
513;23;2693;1
513;23;2694;1
513;23;4261;1
513;23;4262;1
513;23;4263;1
513;23;4254;1
513;23;4255;1
513;23;4256;1
513;23;4257;1
513;23;2695;1
513;23;2696;1
513;23;4258;1
513;23;4259;1
513;23;4260;1
513;23;4358;1
513;23;4359;1
513;23;4360;1
513;23;4361;1
513;23;4362;1
513;23;2783;1
513;23;2784;1
513;23;2807;1
513;23;2808;1
513;23;1173;1
513;23;4072;1
513;23;1177;1
513;23;1178;1
513;23;1179;1
513;23;1182;1
513;23;1183;1
513;23;1184;1
513;23;1811;1
513;23;1812;1
513;23;1813;1
513;23;1814;1
513;23;1815;1
513;23;4324;1
513;23;4325;1
513;23;2525;1
513;23;2526;1
513;23;2785;1
513;23;2786;1
513;23;1979;1
513;23;1980;1
513;23;1981;1
513;23;1982;1
513;23;2755;1
513;23;2756;1
513;23;2749;1
513;23;2750;1
513;23;2443;1
513;23;2444;1
513;23;2809;1
513;23;2810;1
513;23;1539;1
513;23;1540;1
513;23;1541;1
513;23;3786;1
513;23;3913;1
513;23;3787;1
513;23;3788;1
513;23;4196;1
513;23;2753;1
513;23;2754;1
513;23;2751;1
513;23;2752;1
513;23;2747;1
513;23;2748;1
513;23;2056;1
513;23;2057;1
513;23;2058;1
513;23;2737;1
513;23;2738;1
513;23;2739;1
513;23;2740;1
513;23;2777;1
513;23;2778;1
513;23;2413;1
513;23;2414;1
513;23;1737;1
513;23;1738;1
513;23;1739;1
513;23;1740;1
513;23;1741;1
513;23;3907;1
513;23;1743;1
513;23;1735;1
513;23;1736;1
513;23;1335;1
513;23;2779;1
513;23;2780;1
513;23;2735;1
513;23;2736;1
513;23;2775;1
513;23;2776;1
513;23;2625;1
513;23;2626;1
513;23;2627;1
513;23;2628;1
513;23;716;1
513;23;724;1
513;23;723;1
513;23;720;1
513;23;719;1
513;23;718;1
513;23;717;1
513;23;1322;1
513;23;153;1
513;23;154;1
513;23;155;1
513;23;61;1
513;23;62;1
513;23;102;1
513;23;138;1
513;23;63;1
513;23;152;1
513;23;103;1
513;23;2685;1
513;23;2686;1
513;23;3707;1
513;23;4197;1
513;23;3708;1
513;23;3709;1
513;23;4472;1
513;23;4473;1
513;23;4474;1
513;23;4475;1
513;23;64;1
513;23;104;1
513;23;105;1
513;23;141;1
513;23;106;1
513;23;107;1
513;23;108;1
513;23;109;1
513;23;148;1
513;23;110;1
513;23;111;1
513;23;112;1
513;23;66;1
513;23;65;1
513;23;2689;1
513;23;2690;1
513;23;4345;1
513;23;4346;1
513;23;4347;1
513;23;4348;1
513;23;75;1
513;23;76;1
513;23;78;1
513;23;79;1
513;23;80;1
513;23;3957;1
513;23;3958;1
513;23;3959;1
513;23;4241;1
513;23;4242;1
513;23;4243;1
513;23;4465;1
513;23;820;1
513;23;4077;1
513;23;1324;1
513;23;821;1
513;23;822;1
513;23;823;1
513;23;1391;1
513;23;1393;1
513;23;1392;1
513;23;4140;1
513;23;3686;1
513;23;4141;1
513;23;4144;1
513;23;4145;1
513;23;3687;1
513;23;4146;1
513;23;3688;1
513;23;1455;1
513;23;1456;1
513;23;1457;1
513;23;1449;1
513;23;1450;1
513;23;1451;1
513;23;1452;1
513;23;1453;1
513;23;1454;1
513;23;3459;1
513;23;3460;1
513;23;3461;1
513;23;1224;1
513;23;1227;1
513;23;1226;1
513;23;1225;1
513;23;2120;1
513;23;2121;1
513;23;2122;1
513;23;2123;1
513;23;2124;1
513;23;1228;1
513;23;1233;1
513;23;1232;1
513;23;1231;1
513;23;1230;1
513;23;1229;1
513;23;4251;1
513;23;4252;1
513;23;4253;1
513;23;4247;1
513;23;4248;1
513;23;4249;1
513;23;4250;1
