CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
508;18;6409;508;18;7486
508;18;7486;508;18;6409
508;18;7074;508;18;7482
508;18;7482;508;18;7074
508;18;24523;508;18;25111
508;18;25111;508;18;24523
508;18;3151;508;18;3152
508;18;3152;508;18;3151
508;18;2794;508;18;2798
508;18;2798;508;18;2891
508;18;2891;508;18;2794
508;18;1320;508;18;1444
508;18;1444;508;18;1320
508;18;529;508;18;2760
508;18;2760;508;18;529
508;18;527;508;18;2880
508;18;2880;508;18;527
508;18;448;508;18;526
508;18;526;508;18;1505
508;18;1505;508;18;448
508;18;1325;508;18;3155
508;18;3155;508;18;1325
508;18;2087;508;18;3153
508;18;3153;508;18;3166
508;18;3166;508;18;2087
508;18;2748;508;18;3159
508;18;3159;508;18;2748
508;18;450;508;18;2752
508;18;2752;508;18;450
508;18;445;508;18;453
508;18;453;508;18;1464
508;18;1464;508;18;445
508;18;18593;508;18;18597
508;18;18597;508;18;18600
508;18;18600;508;18;18608
508;18;18608;508;18;18593
508;18;18601;508;18;18626
508;18;18626;508;18;18601
508;18;18603;508;18;18630
508;18;18630;508;18;18603
508;18;18604;508;18;18634
508;18;18634;508;18;18604
508;18;18605;508;18;18638
508;18;18638;508;18;18605
508;18;18606;508;18;18642
508;18;18642;508;18;18665
508;18;18665;508;18;18722
508;18;18722;508;18;18606
508;18;24723;508;18;25071
508;18;25071;508;18;24723
508;18;24738;508;18;25072
508;18;25072;508;18;24738
508;18;24749;508;18;25073
508;18;25073;508;18;24749
508;18;24837;508;18;25063
508;18;25063;508;18;25074
508;18;25074;508;18;24837
508;18;24753;508;18;25075
508;18;25075;508;18;25135
508;18;25135;508;18;24753
508;18;7797;508;18;7798
508;18;7798;508;18;7797
508;18;2420;508;18;2684
508;18;2684;508;18;2420
508;18;2678;508;18;2687
508;18;2687;508;18;2678
508;18;2688;508;18;2729
508;18;2729;508;18;2688
508;18;6644;508;18;7407
508;18;7407;508;18;7937
508;18;7937;508;18;6644
508;18;6647;508;18;7396
508;18;7396;508;18;7398
508;18;7398;508;18;6647
508;18;6648;508;18;6650
508;18;6650;508;18;7847
508;18;7847;508;18;6648
508;18;3048;508;18;3049
508;18;3049;508;18;3048
508;18;138;508;18;1202
508;18;1202;508;18;138
508;18;137;508;18;259
508;18;259;508;18;137
508;18;136;508;18;353
508;18;353;508;18;136
508;18;135;508;18;637
508;18;637;508;18;135
508;18;134;508;18;645
508;18;645;508;18;134
508;18;131;508;18;133
508;18;133;508;18;2424
508;18;2424;508;18;131
508;18;1443;508;18;1655
508;18;1655;508;18;1443
508;18;310;508;18;1634
508;18;1634;508;18;2955
508;18;2955;508;18;310
508;18;916;508;18;2079
508;18;2079;508;18;916
508;18;917;508;18;1384
508;18;1384;508;18;917
508;18;267;508;18;2886
508;18;2886;508;18;267
508;18;1645;508;18;1674
508;18;1674;508;18;1645
508;18;1646;508;18;1679
508;18;1679;508;18;1646
508;18;1647;508;18;1684
508;18;1684;508;18;1647
508;18;515;508;18;543
508;18;543;508;18;515
508;18;518;508;18;1702
508;18;1702;508;18;1704
508;18;1704;508;18;518
508;18;520;508;18;1649
508;18;1649;508;18;520
508;18;521;508;18;1456
508;18;1456;508;18;521
508;18;6819;508;18;7208
508;18;7208;508;18;6819
508;18;18457;508;18;18880
508;18;18880;508;18;18457
508;18;18449;508;18;18458
508;18;18458;508;18;18449
508;18;18451;508;18;18500
508;18;18500;508;18;18451
508;18;18504;508;18;18938
508;18;18938;508;18;18504
508;18;18465;508;18;18505
508;18;18505;508;18;18465
508;18;1101;508;18;1899
508;18;1899;508;18;1101
508;18;1793;508;18;1900
508;18;1900;508;18;1793
508;18;1113;508;18;1901
508;18;1901;508;18;1113
508;18;537;508;18;1627
508;18;1627;508;18;537
508;18;540;508;18;1469
508;18;1469;508;18;1692
508;18;1692;508;18;540
508;18;544;508;18;1661
508;18;1661;508;18;3070
508;18;3070;508;18;544
508;18;545;508;18;1697
508;18;1697;508;18;545
508;18;6105;508;18;6111
508;18;6111;508;18;6105
508;18;6106;508;18;6115
508;18;6115;508;18;6106
508;18;741;508;18;743
508;18;743;508;18;2158
508;18;2158;508;18;741
508;18;1989;508;18;1991
508;18;1991;508;18;2159
508;18;2159;508;18;1989
508;18;2008;508;18;2160
508;18;2160;508;18;2008
508;18;286;508;18;288
508;18;288;508;18;2162
508;18;2162;508;18;286
508;18;399;508;18;1402
508;18;1402;508;18;1405
508;18;1405;508;18;2163
508;18;2163;508;18;2253
508;18;2253;508;18;399
508;18;6748;508;18;7511
508;18;7511;508;18;6748
508;18;6204;508;18;6747
508;18;6747;508;18;6204
508;18;6749;508;18;7518
508;18;7518;508;18;6749
508;18;6750;508;18;7546
508;18;7546;508;18;6750
508;18;6615;508;18;7426
508;18;7426;508;18;7812
508;18;7812;508;18;6615
508;18;6103;508;18;7801
508;18;7801;508;18;6103
508;18;6104;508;18;7504
508;18;7504;508;18;6104
508;18;6094;508;18;7419
508;18;7419;508;18;6094
508;18;6089;508;18;6095
508;18;6095;508;18;6089
508;18;6092;508;18;6098
508;18;6098;508;18;6092
508;18;25064;508;18;25082
508;18;25082;508;18;25064
508;18;25065;508;18;25086
508;18;25086;508;18;25065
508;18;25066;508;18;25113
508;18;25113;508;18;25066
508;18;25054;508;18;25067
508;18;25067;508;18;25054
508;18;25050;508;18;25068
508;18;25068;508;18;25050
508;18;24511;508;18;24513
508;18;24513;508;18;25069
508;18;25069;508;18;24511
508;18;24514;508;18;25093
508;18;25093;508;18;24514
508;18;24515;508;18;24564
508;18;24564;508;18;24515
508;18;18662;508;18;18857
508;18;18857;508;18;18662
508;18;18818;508;18;18858
508;18;18858;508;18;18818
508;18;18859;508;18;18865
508;18;18865;508;18;18859
508;18;18806;508;18;18860
508;18;18860;508;18;18806
508;18;2846;508;18;2851
508;18;2851;508;18;2846
508;18;2534;508;18;2847
508;18;2847;508;18;2534
508;18;248;508;18;944
508;18;944;508;18;2848
508;18;2848;508;18;248
508;18;18774;508;18;18783
508;18;18783;508;18;18774
508;18;18780;508;18;18784
508;18;18784;508;18;18780
508;18;18536;508;18;18785
508;18;18785;508;18;18536
508;18;24609;508;18;24814
508;18;24814;508;18;24609
508;18;24610;508;18;24843
508;18;24843;508;18;24610
508;18;24611;508;18;24620
508;18;24620;508;18;24611
508;18;24612;508;18;24937
508;18;24937;508;18;24612
508;18;24613;508;18;24966
508;18;24966;508;18;24613
508;18;24614;508;18;25012
508;18;25012;508;18;24614
508;18;7271;508;18;7649
508;18;7649;508;18;7271
508;18;7014;508;18;7483
508;18;7483;508;18;7014
508;18;7272;508;18;7285
508;18;7285;508;18;7272
508;18;18429;508;18;18590
508;18;18590;508;18;18595
508;18;18595;508;18;18889
508;18;18889;508;18;18429
508;18;24451;508;18;24487
508;18;24487;508;18;24489
508;18;24489;508;18;24451
508;18;24922;508;18;24924
508;18;24924;508;18;24922
508;18;24925;508;18;25097
508;18;25097;508;18;24925
508;18;24490;508;18;24760
508;18;24760;508;18;24490
508;18;24491;508;18;24928
508;18;24928;508;18;24491
508;18;24524;508;18;24529
508;18;24529;508;18;24524
508;18;25094;508;18;25114
508;18;25114;508;18;25094
508;18;25090;508;18;25115
508;18;25115;508;18;25090
508;18;18431;508;18;18443
508;18;18443;508;18;18431
508;18;18444;508;18;18446
508;18;18446;508;18;18592
508;18;18592;508;18;18444
508;18;6765;508;18;6895
508;18;6895;508;18;6765
508;18;6766;508;18;7115
508;18;7115;508;18;6766
508;18;6767;508;18;6883
508;18;6883;508;18;6767
508;18;6768;508;18;6986
508;18;6986;508;18;6768
508;18;6770;508;18;6828
508;18;6828;508;18;6770
508;18;6771;508;18;6930
508;18;6930;508;18;7239
508;18;7239;508;18;6771
508;18;24435;508;18;24437
508;18;24437;508;18;25106
508;18;25106;508;18;24435
508;18;24438;508;18;24520
508;18;24520;508;18;24438
508;18;24439;508;18;24755
508;18;24755;508;18;24439
508;18;24521;508;18;25107
508;18;25107;508;18;24521
508;18;24526;508;18;25041
508;18;25041;508;18;24526
508;18;24563;508;18;25042
508;18;25042;508;18;24563
508;18;2252;508;18;2255
508;18;2255;508;18;2252
508;18;2192;508;18;2257
508;18;2257;508;18;2192
508;18;2203;508;18;2258
508;18;2258;508;18;2203
508;18;2216;508;18;2259
508;18;2259;508;18;2216
508;18;2226;508;18;2261
508;18;2261;508;18;2226
508;18;6623;508;18;7712
508;18;7712;508;18;6623
508;18;2402;508;18;2404
508;18;2404;508;18;3034
508;18;3034;508;18;2402
508;18;2405;508;18;2412
508;18;2412;508;18;2405
508;18;592;508;18;2200
508;18;2200;508;18;2202
508;18;2202;508;18;592
508;18;601;508;18;2204
508;18;2204;508;18;601
508;18;2205;508;18;2281
508;18;2281;508;18;2205
508;18;2206;508;18;2287
508;18;2287;508;18;2206
508;18;2501;508;18;2545
508;18;2545;508;18;2501
508;18;2546;508;18;2549
508;18;2549;508;18;2546
508;18;32;508;18;232
508;18;232;508;18;3077
508;18;3077;508;18;32
508;18;33;508;18;35
508;18;35;508;18;33
508;18;3074;508;18;3075
508;18;3075;508;18;3074
508;18;29;508;18;969
508;18;969;508;18;29
508;18;30;508;18;2515
508;18;2515;508;18;30
508;18;31;508;18;1170
508;18;1170;508;18;31
508;18;7140;508;18;7596
508;18;7596;508;18;7140
508;18;337;508;18;1419
508;18;1419;508;18;2392
508;18;2392;508;18;337
508;18;2389;508;18;2393
508;18;2393;508;18;2389
508;18;2394;508;18;2401
508;18;2401;508;18;2394
508;18;7289;508;18;7294
508;18;7294;508;18;7289
508;18;7256;508;18;7295
508;18;7295;508;18;7256
508;18;7268;508;18;7297
508;18;7297;508;18;7268
508;18;7292;508;18;7299
508;18;7299;508;18;7292
508;18;2607;508;18;2811
508;18;2811;508;18;2607
508;18;24428;508;18;25118
508;18;25118;508;18;24428
508;18;165;508;18;176
508;18;176;508;18;773
508;18;773;508;18;165
508;18;177;508;18;1100
508;18;1100;508;18;177
508;18;178;508;18;1909
508;18;1909;508;18;178
